id,external_no,name,type_code,type_name,district_name,rural_okrug,lat,lon,year_built,water_source,capacity_m3s,length_total_km,length_earth_km,length_lined_km,suspended_area_ha,efficiency_design,efficiency_actual,efficiency_drop,wear_percent,age,tech_state_raw,cadastral_no,state_act
311,106.0,Канал №106 (Район 313),canal,Канал,Район 313,Сельский округ 313,43.919668,69.694692,,р. Иртыш,0.4,3.398,3.398,,836.0,,,,,,удов.,Кадастровый № 0313,Госакт № 0313
312,107.0,Канал №107 (Район 314),canal,Канал,Район 314,Сельский округ 314,42.74402,73.472571,1977.0,р. Иртыш,0.7,3.093,3.093,,496.0,,,,,49.0,удов.,Кадастровый № 0314,Госакт № 0314
313,108.0,Канал №108 (Район 315),canal,Канал,Район 315,Сельский округ 315,44.192374,70.356618,,р. Иртыш,,7.698,7.698,,496.0,0.72,0.4,0.31999999999999995,,,удов.,Кадастровый № 0315,Госакт № 0315
314,109.0,Канал №109 (Район 316),canal,Канал,Район 316,Сельский округ 316,42.692383,70.271495,,р. Иртыш,0.2,2.005,2.005,,117.0,0.72,0.4,0.31999999999999995,,,удов.,Кадастровый № 0316,Госакт № 0316
315,110.0,Канал №110 (Район 317),canal,Канал,Район 317,Сельский округ 317,42.550545,71.43033,1977.0,р. Иртыш,0.5,0.741,0.741,,463.0,0.8,0.6,0.20000000000000007,,49.0,удов.,Кадастровый № 0317,Госакт № 0317
316,111.0,Канал №111 (Район 318),canal,Канал,Район 318,Сельский округ 318,44.368166,72.199202,1977.0,р. Иртыш,0.3,2.707,2.707,,,0.8,0.6,0.20000000000000007,,49.0,удов.,Кадастровый № 0318,Госакт № 0318
317,112.0,Канал №112 (Район 319),canal,Канал,Район 319,Сельский округ 319,44.328108,70.589162,,р. Иртыш,0.4,2.19,2.19,,,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0319,Госакт № 0319
318,113.0,Канал №113 (Район 320),canal,Канал,Район 320,Сельский округ 320,43.650536,70.995174,1977.0,р. Иртыш,0.2,6.364,6.364,,,0.8,0.6,0.20000000000000007,,49.0,удов.,Кадастровый № 0320,Госакт № 0320
319,114.0,Канал №114 (Район 321),canal,Канал,Район 321,Сельский округ 321,44.905708,73.97153,1977.0,р. Иртыш,0.5,3.787,3.787,,415.0,0.8,0.6,0.20000000000000007,,49.0,удов.,Кадастровый № 0321,Госакт № 0321
320,115.0,Канал №115 (Район 322),canal,Канал,Район 322,Сельский округ 322,43.653241,72.092583,1981.0,р. Иртыш,0.7,4.153,4.153,,142.0,0.72,0.4,0.31999999999999995,,45.0,удов.,Кадастровый № 0322,Госакт № 0322
321,116.0,Канал №116 (Район 323),canal,Канал,Район 323,Сельский округ 323,43.79591,71.37306,1978.0,р. Иртыш,0.2,2.135,2.135,,102.0,0.72,0.4,0.31999999999999995,,48.0,удов.,Кадастровый № 0323,Госакт № 0323
322,117.0,Канал №117 (Район 324),canal,Канал,Район 324,Сельский округ 324,42.644847,72.236175,1980.0,р. Иртыш,0.4,0.626,0.626,,125.0,0.72,0.4,0.31999999999999995,,46.0,удов.,Кадастровый № 0324,Госакт № 0324
323,118.0,Канал №118 (Район 325),canal,Канал,Район 325,Сельский округ 325,42.983883,70.615748,1981.0,р. Иртыш,2.0,9.248,9.248,,1476.0,0.72,0.4,0.31999999999999995,,45.0,удов.,Кадастровый № 0325,Госакт № 0325
324,119.0,Канал №119 (Район 326),canal,Канал,Район 326,Сельский округ 326,44.720398,69.854824,,р. Иртыш,1.0,6.851,6.851,,,0.72,0.4,0.31999999999999995,,,удов.,Кадастровый № 0326,Госакт № 0326
325,120.0,Канал №120 (Район 327),canal,Канал,Район 327,Сельский округ 327,43.85878,69.762974,1935.0,р. Иртыш,0.4,2.535,2.535,,269.0,0.72,0.4,0.31999999999999995,,91.0,удов.,Кадастровый № 0327,Госакт № 0327
326,121.0,Канал №121 (Район 328),canal,Канал,Район 328,Сельский округ 328,43.071411,73.221531,,р. Иртыш,0.4,2.585,2.585,,546.0,,,,,,удов.,Кадастровый № 0328,Госакт № 0328
327,122.0,Канал №122 (Район 329),canal,Канал,Район 329,Сельский округ 329,42.680769,69.56272,1935.0,р. Иртыш,0.6,4.276,4.276,,571.0,0.72,0.4,0.31999999999999995,,91.0,удов.,Кадастровый № 0329,Госакт № 0329
328,123.0,Канал №123 (Район 330),canal,Канал,Район 330,Сельский округ 330,44.131774,72.145526,1976.0,р. Иртыш,0.8,3.966,3.966,,718.0,0.72,0.4,0.31999999999999995,,50.0,удов.,Кадастровый № 0330,Госакт № 0330
329,124.0,Канал №124 (Район 331),canal,Канал,Район 331,Сельский округ 331,44.458708,74.019515,,р. Иртыш,0.5,5.061,5.061,,479.0,,,,,,удов.,Кадастровый № 0331,Госакт № 0331
330,125.0,Канал №125 (Район 332),canal,Канал,Район 332,Сельский округ 332,44.332484,72.038145,1939.0,р. Иртыш,0.4,2.871,2.871,,280.0,0.72,0.4,0.31999999999999995,,87.0,удов.,Кадастровый № 0332,Госакт № 0332
331,126.0,Канал №126 (Район 333),canal,Канал,Район 333,Сельский округ 333,43.577603,72.538367,1937.0,р. Иртыш,1.0,3.65,3.65,,754.0,0.72,0.4,0.31999999999999995,,89.0,удов.,Кадастровый № 0333,Госакт № 0333
332,127.0,Канал №127 (Район 334),canal,Канал,Район 334,Сельский округ 334,43.595894,70.602601,1938.0,р. Иртыш,1.5,5.014,5.014,,1384.0,0.72,0.4,0.31999999999999995,,88.0,удов.,Кадастровый № 0334,Госакт № 0334
333,128.0,Канал №128 (Район 335),canal,Канал,Район 335,Сельский округ 335,43.719161,72.290955,1982.0,р. Иртыш,0.4,3.859,3.859,,360.0,0.72,0.4,0.31999999999999995,,44.0,удов.,Кадастровый № 0335,Госакт № 0335
334,129.0,Канал №129 (Район 336),canal,Канал,Район 336,Сельский округ 336,44.648361,72.783893,1967.0,р. Иртыш,0.4,6.999,6.999,,257.0,0.72,0.4,0.31999999999999995,,59.0,удов.,Кадастровый № 0336,Госакт № 0336
335,130.0,Канал №130 (Район 337),canal,Канал,Район 337,Сельский округ 337,43.969176,72.192548,1969.0,р. Иртыш,0.2,2.7,2.7,,120.0,0.72,0.4,0.31999999999999995,,57.0,удов.,Кадастровый № 0337,Госакт № 0337
336,131.0,Канал №131 (Район 338),canal,Канал,Район 338,Сельский округ 338,44.933981,69.744889,1972.0,р. Иртыш,0.2,1.966,1.966,,162.0,0.72,0.4,0.31999999999999995,,54.0,удов.,Кадастровый № 0338,Госакт № 0338
337,132.0,Канал №132 (Район 339),canal,Канал,Район 339,Сельский округ 339,42.905665,73.472926,,р. Иртыш,0.4,2.136,2.136,,173.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0339,Госакт № 0339
338,133.0,Канал №133 (Район 340),canal,Канал,Район 340,Сельский округ 340,43.078758,72.755984,1981.0,р. Иртыш,0.4,1.668,1.668,,350.0,0.6,0.9,-0.30000000000000004,,45.0,не удов.,Кадастровый № 0340,Госакт № 0340
339,134.0,Канал №134 (Район 341),canal,Канал,Район 341,Сельский округ 341,44.840223,72.453952,,р. Иртыш,0.4,2.114,2.114,,274.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0341,Госакт № 0341
340,135.0,Канал №135 (Район 342),canal,Канал,Район 342,Сельский округ 342,44.152805,73.163832,1972.0,р. Иртыш,0.5,3.153,3.153,,288.0,0.6,0.9,-0.30000000000000004,,54.0,не удов.,Кадастровый № 0342,Госакт № 0342
341,136.0,Канал №136 (Район 343),canal,Канал,Район 343,Сельский округ 343,43.446182,73.801658,,р. Иртыш,0.4,3.948,3.948,,390.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0343,Госакт № 0343
342,137.0,Канал №137 (Район 344),canal,Канал,Район 344,Сельский округ 344,44.294328,73.280174,,р. Иртыш,0.4,2.097,2.097,,415.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0344,Госакт № 0344
343,138.0,Канал №138 (Район 345),canal,Канал,Район 345,Сельский округ 345,43.224292,72.492281,,р. Иртыш,0.5,5.01,5.01,,280.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0345,Госакт № 0345
344,139.0,Канал №139 (Район 346),canal,Канал,Район 346,Сельский округ 346,42.815485,72.876584,,р. Иртыш,0.3,1.651,1.651,,100.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0346,Госакт № 0346
345,140.0,Канал №140 (Район 347),canal,Канал,Район 347,Сельский округ 347,44.992995,71.82233,,р. Иртыш,0.5,4.363,4.363,,300.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0347,Госакт № 0347
346,141.0,Канал №141 (Район 348),canal,Канал,Район 348,Сельский округ 348,43.45162,71.009191,,р. Иртыш,0.4,3.384,3.384,,100.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0348,Госакт № 0348
347,142.0,Канал №142 (Район 349),canal,Канал,Район 349,Сельский округ 349,42.950104,71.695716,,р. Иртыш,0.4,2.386,2.386,,150.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0349,Госакт № 0349
348,143.0,Канал №143 (Район 350),canal,Канал,Район 350,Сельский округ 350,44.937668,70.717841,,р. Иртыш,0.4,3.576,3.576,,430.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0350,Госакт № 0350
349,144.0,Канал №144 (Район 351),canal,Канал,Район 351,Сельский округ 351,43.051732,73.277765,,р. Иртыш,0.4,3.471,3.471,,871.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0351,Госакт № 0351
350,145.0,Канал №145 (Район 352),canal,Канал,Район 352,Сельский округ 352,44.565505,72.329629,,р. Иртыш,0.5,6.646,6.646,,871.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0352,Госакт № 0352
351,146.0,Канал №146 (Район 353),canal,Канал,Район 353,Сельский округ 353,44.760108,71.60861,,р. Иртыш,1.5,2.993,2.993,,120.0,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0353,Госакт № 0353
352,147.0,Канал №147 (Район 354),canal,Канал,Район 354,Сельский округ 354,43.712449,73.177729,,р. Иртыш,0.5,12.193,12.193,,,0.6,0.9,-0.30000000000000004,,,не удов.,Кадастровый № 0354,Госакт № 0354
353,148.0,Канал №148 (Район 355),canal,Канал,Район 355,Сельский округ 355,43.066468,71.49412,1975.0,р. Иртыш,1.0,6.7,6.7,,795.0,0.6,0.9,-0.30000000000000004,,51.0,не удов.,Кадастровый № 0355,Госакт № 0355
354,149.0,Канал №149 (Район 356),canal,Канал,Район 356,Сельский округ 356,44.112224,69.599727,,р. Иртыш,0.2,2.226,2.226,,77.0,0.72,0.4,0.31999999999999995,,,удов.,Кадастровый № 0356,Госакт № 0356
355,150.0,Канал №150 (Район 357),canal,Канал,Район 357,Сельский округ 357,42.691877,69.872262,,р. Иртыш,0.4,1.741,,1.741,475.0,0.72,0.4,0.31999999999999995,,,удов.,Кадастровый № 0357,Госакт № 0357
356,151.0,Канал №151 (Район 358),canal,Канал,Район 358,Сельский округ 358,43.560453,74.49457,,р. Иртыш,0.5,1.709,,1.709,359.0,0.72,0.4,0.31999999999999995,,,удов.,Кадастровый № 0358,Госакт № 0358
357,152.0,Канал №152 (Район 359),canal,Канал,Район 359,Сельский округ 359,43.806239,71.224867,,р. Иртыш,0.25,3.766,3.766,,500.0,0.72,0.4,0.31999999999999995,,,удов.,Кадастровый № 0359,Госакт № 0359
358,153.0,Канал №153 (Район 360),canal,Канал,Район 360,Сельский округ 360,44.29594,72.239602,,р. Иртыш,0.25,1.498,1.498,,594.0,0.72,0.4,0.31999999999999995,,,удов.,Кадастровый № 0360,Госакт № 0360
359,154.0,Канал №154 (Район 361),canal,Канал,Район 361,Сельский округ 361,44.936333,70.296887,1974.0,р. Иртыш,0.5,12.385,12.385,,87.0,0.8,0.6,0.20000000000000007,,52.0,удов.,Кадастровый № 0361,Госакт № 0361
360,155.0,Канал №155 (Район 362),canal,Канал,Район 362,Сельский округ 362,42.88331,73.551524,1974.0,р. Иртыш,0.3,7.3,7.3,,205.0,0.8,0.6,0.20000000000000007,,52.0,удов.,Кадастровый № 0362,Госакт № 0362
361,156.0,Канал №156 (Район 363),canal,Канал,Район 363,Сельский округ 363,43.883262,72.400848,1974.0,р. Иртыш,0.35,1.574,1.574,,420.0,0.8,0.6,0.20000000000000007,,52.0,удов.,Кадастровый № 0363,Госакт № 0363
362,157.0,Канал №157 (Район 364),canal,Канал,Район 364,Сельский округ 364,44.154558,70.471997,,р. Иртыш,0.3,4.531,4.531,,194.0,,,,,,удов.,Кадастровый № 0364,Госакт № 0364
363,158.0,Канал №158 (Район 365),canal,Канал,Район 365,Сельский округ 365,42.831296,70.887517,,р. Иртыш,0.6,2.023,2.023,,100.0,,,,,,удов.,Кадастровый № 0365,Госакт № 0365
364,159.0,Канал №159 (Район 366),canal,Канал,Район 366,Сельский округ 366,42.944341,71.930828,,р. Иртыш,0.5,0.336,0.336,,200.0,,,,,,удов.,Кадастровый № 0366,Госакт № 0366
365,160.0,Канал №160 (Район 367),canal,Канал,Район 367,Сельский округ 367,42.618388,70.46298,,р. Иртыш,0.8,3.413,3.413,,100.0,,,,,,удов.,Кадастровый № 0367,Госакт № 0367
366,161.0,Канал №161 (Район 368),canal,Канал,Район 368,Сельский округ 368,44.588111,71.137357,,р. Иртыш,0.7,5.619,5.619,,514.0,,,,,,удов.,Кадастровый № 0368,Госакт № 0368
367,162.0,Канал №162 (Район 369),canal,Канал,Район 369,Сельский округ 369,44.372915,71.289461,,р. Иртыш,0.8,4.5,4.5,,868.0,,,,,,удов.,Кадастровый № 0369,Госакт № 0369
368,163.0,Канал №163 (Район 370),canal,Канал,Район 370,Сельский округ 370,43.598504,70.362025,,р. Иртыш,0.8,2.538,,2.538,671.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0370,Госакт № 0370
369,164.0,Канал №164 (Район 371),canal,Канал,Район 371,Сельский округ 371,43.539232,74.255559,,р. Иртыш,0.4,1.973,,1.973,285.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0371,Госакт № 0371
370,165.0,Канал №165 (Район 372),canal,Канал,Район 372,Сельский округ 372,44.036781,73.020293,,р. Иртыш,0.1,3.476,,3.476,290.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0372,Госакт № 0372
371,166.0,Канал №166 (Район 373),canal,Канал,Район 373,Сельский округ 373,44.886244,72.066163,,р. Иртыш,0.1,0.935,0.935,,251.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0373,
372,167.0,Канал №167 (Район 374),canal,Канал,Район 374,Сельский округ 374,43.979777,73.57947,,р. Иртыш,0.2,2.069,2.069,,91.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0374,Госакт № 0374
373,168.0,Канал №168 (Район 375),canal,Канал,Район 375,Сельский округ 375,43.674754,72.513821,,р. Иртыш,0.4,2.952,,2.952,295.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0375,Госакт № 0375
374,169.0,Канал №169 (Район 376),canal,Канал,Район 376,Сельский округ 376,44.379415,70.217677,,р. Иртыш,0.5,1.876,,1.876,364.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0376,Госакт № 0376
375,170.0,Канал №170 (Район 377),canal,Канал,Район 377,Сельский округ 377,43.075419,70.523842,,р. Иртыш,0.3,0.525,0.525,,300.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0377,Госакт № 0377
376,171.0,Канал №171 (Район 378),canal,Канал,Район 378,Сельский округ 378,42.948897,73.326416,1979.0,р. Иртыш,0.8,1.867,,1.867,682.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0378,Госакт № 0378
377,172.0,Канал №172 (Район 379),canal,Канал,Район 379,Сельский округ 379,43.644402,69.635927,1979.0,р. Иртыш,1.5,1.388,,1.388,1457.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0379,Госакт № 0379
378,173.0,Канал №173 (Район 380),canal,Канал,Район 380,Сельский округ 380,43.513516,73.511741,,р. Иртыш,2.5,3.385,,3.385,2190.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0380,Госакт № 0380
379,174.0,Канал №174 (Район 381),canal,Канал,Район 381,Сельский округ 381,44.57901,69.721494,1970.0,р. Иртыш,2.0,3.172,,3.172,1659.0,0.8,0.6,0.20000000000000007,,56.0,удов.,Кадастровый № 0381,Госакт № 0381
380,175.0,Канал №175 (Район 382),canal,Канал,Район 382,Сельский округ 382,44.300501,73.72496,1970.0,р. Иртыш,0.2,1.871,1.871,,68.0,0.8,0.6,0.20000000000000007,,56.0,удов.,Кадастровый № 0382,Госакт № 0382
381,176.0,Канал №176 (Район 383),canal,Канал,Район 383,Сельский округ 383,42.673465,72.112834,1979.0,р. Иртыш,1.5,5.06,5.06,,1635.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0383,Госакт № 0383
382,177.0,Канал №177 (Район 384),canal,Канал,Район 384,Сельский округ 384,44.671375,72.874991,1979.0,р. Иртыш,0.5,3.604,3.604,,350.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0384,Госакт № 0384
383,178.0,Канал №178 (Район 385),canal,Канал,Район 385,Сельский округ 385,42.895436,72.008431,1979.0,р. Иртыш,2.5,3.936,3.936,,2850.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0385,Госакт № 0385
384,179.0,Канал №179 (Район 386),canal,Канал,Район 386,Сельский округ 386,44.313969,72.929749,1979.0,р. Иртыш,2.0,5.765,,5.765,2120.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0386,Госакт № 0386
385,180.0,Канал №180 (Район 387),canal,Канал,Район 387,Сельский округ 387,43.524079,69.565468,1979.0,р. Иртыш,0.3,2.859,,2.859,263.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0387,Госакт № 0387
386,181.0,Канал №181 (Район 388),canal,Канал,Район 388,Сельский округ 388,43.148078,73.983197,1979.0,р. Иртыш,0.3,1.144,,1.144,163.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0388,Госакт № 0388
387,182.0,Канал №182 (Район 389),canal,Канал,Район 389,Сельский округ 389,44.276363,72.596713,1979.0,р. Иртыш,0.2,2.017,,2.017,159.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0389,Госакт № 0389
388,183.0,Канал №183 (Район 390),canal,Канал,Район 390,Сельский округ 390,44.260528,72.014174,,р. Иртыш,0.5,6.317,,6.317,481.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0390,Госакт № 0390
389,184.0,Канал №184 (Район 391),canal,Канал,Район 391,Сельский округ 391,44.854829,72.749827,,р. Иртыш,0.5,5.507,,5.507,522.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0391,Госакт № 0391
390,185.0,Канал №185 (Район 392),canal,Канал,Район 392,Сельский округ 392,44.233918,71.083902,1942.0,р. Иртыш,0.2,2.547,2.547,,664.0,0.72,0.4,0.31999999999999995,,84.0,удов.,Кадастровый № 0392,Госакт № 0392
391,186.0,Канал №186 (Район 393),canal,Канал,Район 393,Сельский округ 393,43.587023,72.140592,1948.0,р. Иртыш,0.2,0.723,,0.723,335.0,0.8,0.6,0.20000000000000007,,78.0,удов.,Кадастровый № 0393,Госакт № 0393
392,187.0,Канал №187 (Район 394),canal,Канал,Район 394,Сельский округ 394,42.937272,74.440727,1960.0,р. Иртыш,1.2,16.969,,16.969,672.0,0.8,0.6,0.20000000000000007,,66.0,удов.,Кадастровый № 0394,Госакт № 0394
393,188.0,Канал №188 (Район 395),canal,Канал,Район 395,Сельский округ 395,42.983142,72.040129,1960.0,р. Иртыш,1.2,6.212,,6.212,585.0,0.8,0.6,0.20000000000000007,,66.0,удов.,Кадастровый № 0395,Госакт № 0395
394,189.0,Канал №189 (Район 396),canal,Канал,Район 396,Сельский округ 396,44.107215,72.524217,1972.0,р. Иртыш,0.4,5.466,,5.466,720.0,0.8,0.6,0.20000000000000007,,54.0,удов.,Кадастровый № 0396,Госакт № 0396
395,190.0,Канал №190 (Район 397),canal,Канал,Район 397,Сельский округ 397,44.725517,71.273734,1960.0,р. Иртыш,0.4,5.294,,5.294,758.0,0.8,0.6,0.20000000000000007,,66.0,удов.,Кадастровый № 0397,Госакт № 0397
396,191.0,Канал №191 (Район 398),canal,Канал,Район 398,Сельский округ 398,44.054536,71.98135,1960.0,р. Иртыш,1.2,5.548,,5.548,615.0,0.8,0.6,0.20000000000000007,,66.0,удов.,Кадастровый № 0398,Госакт № 0398
397,192.0,Канал №192 (Район 399),canal,Канал,Район 399,Сельский округ 399,43.793563,72.442117,1960.0,р. Иртыш,0.4,5.494,,5.494,621.0,0.8,0.6,0.20000000000000007,,66.0,удов.,Кадастровый № 0399,Госакт № 0399
398,193.0,Канал №193 (Район 400),canal,Канал,Район 400,Сельский округ 400,44.288918,71.023931,1979.0,р. Иртыш,0.8,2.013,,2.013,664.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0400,Госакт № 0400
399,194.0,Канал №194 (Район 401),canal,Канал,Район 401,Сельский округ 401,44.509627,69.994536,1985.0,р. Иртыш,0.15,0.447,0.447,,70.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0401,Госакт № 0401
400,195.0,Канал №195 (Район 402),canal,Канал,Район 402,Сельский округ 402,42.961992,72.30493,1985.0,р. Иртыш,0.1,0.544,0.544,,90.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0402,Госакт № 0402
401,196.0,Канал №196 (Район 403),canal,Канал,Район 403,Сельский округ 403,42.688307,70.738213,1985.0,р. Иртыш,0.15,0.256,0.256,,80.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0403,Госакт № 0403
402,197.0,Канал №197 (Район 404),canal,Канал,Район 404,Сельский округ 404,43.241881,71.912785,1985.0,р. Иртыш,0.1,0.231,0.231,,64.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0404,Госакт № 0404
403,198.0,Канал №198 (Район 405),canal,Канал,Район 405,Сельский округ 405,43.947397,73.605599,,р. Иртыш,0.3,0.231,0.231,,275.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0405,Госакт № 0405
404,199.0,Канал №199 (Район 406),canal,Канал,Район 406,Сельский округ 406,43.378879,73.390987,,р. Иртыш,0.8,1.141,1.141,,398.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0406,Госакт № 0406
405,200.0,Канал №200 (Район 407),canal,Канал,Район 407,Сельский округ 407,44.395872,71.247371,,р. Иртыш,0.5,0.684,0.684,,308.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0407,Госакт № 0407
406,201.0,Канал №201 (Район 408),canal,Канал,Район 408,Сельский округ 408,42.934401,69.90047,,р. Иртыш,0.2,0.35,0.35,,264.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0408,Госакт № 0408
407,202.0,Канал №202 (Район 409),canal,Канал,Район 409,Сельский округ 409,44.111641,73.711476,,р. Иртыш,0.4,3.885,,3.885,481.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0409,
408,203.0,Канал №203 (Район 410),canal,Канал,Район 410,Сельский округ 410,44.299733,70.060488,,р. Иртыш,0.37,1.27,1.27,,360.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0410,Госакт № 0410
409,204.0,Канал №204 (Район 411),canal,Канал,Район 411,Сельский округ 411,44.653114,70.935086,,р. Иртыш,0.4,4.28,,4.28,310.0,,,,,,удов.,Кадастровый № 0411,Госакт № 0411
410,205.0,Канал №205 (Район 412),canal,Канал,Район 412,Сельский округ 412,44.612929,71.030343,,р. Иртыш,0.1,0.63,0.63,,390.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0412,Госакт № 0412
411,206.0,Канал №206 (Район 413),canal,Канал,Район 413,Сельский округ 413,42.887015,72.79736,,р. Иртыш,0.45,1.76,,1.76,236.0,0.8,0.6,0.20000000000000007,,,удов.,Кадастровый № 0413,Госакт № 0413
412,207.0,Канал №207 (Район 414),canal,Канал,Район 414,Сельский округ 414,44.597454,70.35271,1979.0,р. Иртыш,0.65,1.581,1.581,,252.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0414,Госакт № 0414
413,208.0,Канал №208 (Район 415),canal,Канал,Район 415,Сельский округ 415,43.704769,73.433256,1979.0,р. Иртыш,0.3,0.664,0.664,,342.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0415,Госакт № 0415
414,209.0,Канал №209 (Район 416),canal,Канал,Район 416,Сельский округ 416,42.820099,72.811631,1979.0,р. Иртыш,0.3,0.605,0.605,,295.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0416,Госакт № 0416
415,210.0,Канал №210 (Район 417),canal,Канал,Район 417,Сельский округ 417,44.62995,73.997592,1979.0,р. Иртыш,0.3,1.326,,1.326,429.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0417,Госакт № 0417
416,211.0,Канал №211 (Район 418),canal,Канал,Район 418,Сельский округ 418,42.892554,71.815428,1979.0,р. Иртыш,0.15,0.808,0.808,,296.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0418,Госакт № 0418
417,212.0,Канал №212 (Район 419),canal,Канал,Район 419,Сельский округ 419,43.745221,71.179191,1979.0,р. Иртыш,0.65,2.137,2.137,,486.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0419,Госакт № 0419
418,213.0,Канал №213 (Район 420),canal,Канал,Район 420,Сельский округ 420,44.879949,71.347424,1979.0,р. Иртыш,0.4,1.622,1.622,,133.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0420,
419,214.0,Канал №214 (Район 421),canal,Канал,Район 421,Сельский округ 421,42.716219,69.678762,1979.0,р. Иртыш,0.3,1.4,1.4,,157.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0421,Госакт № 0421
420,215.0,Канал №215 (Район 422),canal,Канал,Район 422,Сельский округ 422,43.969213,69.60257,1979.0,р. Иртыш,0.45,1.632,1.632,,237.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0422,Госакт № 0422
421,216.0,Канал №216 (Район 423),canal,Канал,Район 423,Сельский округ 423,43.433077,72.742748,1979.0,р. Иртыш,0.5,1.745,,1.745,100.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0423,Госакт № 0423
422,217.0,Канал №217 (Район 424),canal,Канал,Район 424,Сельский округ 424,44.93669,71.519151,1979.0,р. Иртыш,0.2,1.108,1.108,,2.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0424,Госакт № 0424
423,218.0,Канал №218 (Район 425),canal,Канал,Район 425,Сельский округ 425,43.942659,69.948581,1979.0,р. Иртыш,0.2,0.481,0.481,,7.0,0.8,0.6,0.20000000000000007,,47.0,удов.,Кадастровый № 0425,Госакт № 0425
424,219.0,Канал №219 (Район 426),canal,Канал,Район 426,Сельский округ 426,43.612194,70.490401,1985.0,р. Иртыш,0.2,1.828,,1.828,44.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0426,Госакт № 0426
425,220.0,Канал №220 (Район 427),canal,Канал,Район 427,Сельский округ 427,42.615332,71.221768,1985.0,р. Иртыш,0.4,1.051,,1.051,104.0,0.8,0.6,0.20000000000000007,,41.0,удов.,Кадастровый № 0427,Госакт № 0427
